vignette_id,condition,time_to_info,accuracy,n_queries_issued,latency_ms,cognitive_load,tlx_mental,tlx_physical,tlx_temporal,tlx_performance,tlx_effort,tlx_frustration,period,specialty,experience_group,complexity,n_pivots,condition_code
V033,control,201.92,0,4,177.96,70.27,100.0,28.41,100.0,27.2,100.0,66.02,1,internal_medicine,>=5_years,high,1,0
V033,bm25,201.86,0,4,186.55,70.79,100.0,26.7,100.0,34.27,98.34,65.42,2,internal_medicine,>=5_years,high,1,0
V033,biencoder,200.62,0,4,213.0,73.29,100.0,33.03,100.0,38.99,100.0,67.71,3,internal_medicine,>=5_years,high,1,0
V033,cma,179.4,0,4,141.87,65.31,94.17,28.13,82.12,44.91,89.92,52.6,4,internal_medicine,>=5_years,high,1,1
V033,gdt,74.25,1,4,119.43,42.58,46.81,16.71,44.02,65.82,51.8,30.32,5,internal_medicine,>=5_years,high,1,1
V060,bm25,23.1,1,1,174.21,37.81,43.29,5.25,39.28,71.9,39.36,27.78,1,emergency,<5_years,low,0,0
V060,control,23.52,1,1,184.33,38.57,43.64,12.3,39.22,72.58,37.38,26.29,2,emergency,<5_years,low,0,0
V060,gdt,19.48,1,1,127.39,29.28,25.12,10.4,24.96,84.34,18.47,12.35,3,emergency,<5_years,low,0,1
V060,biencoder,23.88,1,1,193.87,38.95,44.4,9.66,33.91,70.45,51.32,23.96,4,emergency,<5_years,low,0,0
V060,cma,22.52,1,1,148.48,32.4,31.61,5.13,28.79,85.81,26.45,16.59,5,emergency,<5_years,low,0,1
V047,cma,170.77,0,3,147.64,61.23,83.78,29.66,75.21,52.57,77.17,48.97,1,critical_care,>=5_years,low,0,1
V047,control,164.71,0,3,185.29,65.38,89.22,24.87,80.57,47.22,94.72,55.67,2,critical_care,>=5_years,low,0,0
V047,biencoder,286.81,0,3,185.69,72.17,100.0,43.45,100.0,8.16,100.0,81.41,3,critical_care,>=5_years,low,0,0
V047,bm25,286.67,0,3,204.25,71.6,100.0,31.39,100.0,18.63,100.0,79.57,4,critical_care,>=5_years,low,0,0
V047,gdt,238.79,0,3,133.87,69.71,100.0,31.83,93.72,34.49,100.0,58.24,5,critical_care,>=5_years,low,0,1
V019,biencoder,300.0,0,5,189.69,71.93,100.0,43.18,100.0,6.92,100.0,81.48,1,hospital_medicine,<5_years,high,0,0
V019,control,300.0,0,5,184.78,71.51,100.0,39.95,100.0,9.76,100.0,79.35,2,hospital_medicine,<5_years,high,0,0
V019,bm25,300.0,0,5,177.12,72.97,100.0,41.91,100.0,11.04,100.0,84.87,3,hospital_medicine,<5_years,high,0,0
V019,cma,300.0,0,5,144.67,72.52,100.0,37.39,100.0,20.77,100.0,76.98,4,hospital_medicine,<5_years,high,0,1
V019,gdt,236.06,0,5,127.41,70.52,100.0,33.55,99.12,34.71,100.0,55.76,5,hospital_medicine,<5_years,high,0,1
V057,control,22.98,1,1,164.42,37.29,40.27,8.5,43.87,68.99,37.82,24.3,1,critical_care,<5_years,low,0,0
V057,gdt,19.22,1,1,137.36,26.23,17.39,4.55,15.83,84.89,23.1,11.64,2,critical_care,<5_years,low,0,1
V057,biencoder,23.14,1,1,172.02,38.85,40.1,18.75,39.58,69.19,38.42,27.08,3,critical_care,<5_years,low,0,0
V057,bm25,28.82,1,1,202.73,40.67,38.54,13.98,39.92,75.93,50.73,24.93,4,critical_care,<5_years,low,0,0
V057,cma,18.17,1,1,131.38,32.4,28.73,6.1,28.41,87.89,28.41,14.84,5,critical_care,<5_years,low,0,1
V020,biencoder,152.53,0,2,175.32,63.67,89.2,21.29,90.52,46.73,86.67,47.6,1,emergency,>=5_years,low,0,0
V020,control,252.01,0,2,207.81,71.88,100.0,26.58,100.0,32.44,100.0,72.25,2,emergency,>=5_years,low,0,0
V020,gdt,232.93,0,2,133.17,68.25,93.35,28.63,89.48,44.09,96.9,57.03,3,emergency,>=5_years,low,0,1
V020,cma,231.28,0,2,148.98,68.3,100.0,28.6,90.12,32.54,100.0,58.57,4,emergency,>=5_years,low,0,1
V020,bm25,264.7,0,2,177.07,72.41,100.0,35.23,100.0,20.61,100.0,78.64,5,emergency,>=5_years,low,0,0
V021,biencoder,300.0,0,3,176.76,72.9,100.0,39.84,100.0,14.65,100.0,82.9,1,critical_care,>=5_years,low,0,0
V021,control,179.49,0,3,195.18,64.8,92.77,24.36,97.44,34.71,89.9,49.61,2,critical_care,>=5_years,low,0,0
V021,cma,153.02,0,3,154.24,55.72,77.15,17.45,71.61,44.99,75.53,47.6,3,critical_care,>=5_years,low,0,1
V021,gdt,152.58,0,3,129.89,52.3,74.77,20.28,66.93,49.96,72.28,29.56,4,critical_care,>=5_years,low,0,1
V021,bm25,182.73,0,3,187.47,70.11,97.3,22.66,93.94,43.54,98.26,64.94,5,critical_care,>=5_years,low,0,0
V048,gdt,292.79,0,5,132.57,71.06,100.0,33.25,100.0,24.55,100.0,68.57,1,hospital_medicine,<5_years,high,0,1
V048,bm25,300.0,0,5,193.59,73.51,100.0,44.27,100.0,8.97,100.0,87.8,2,hospital_medicine,<5_years,high,0,0
V048,control,300.0,0,5,191.33,70.82,100.0,31.57,100.0,7.05,100.0,86.28,3,hospital_medicine,<5_years,high,0,0
V048,biencoder,300.0,0,5,183.68,71.24,100.0,34.4,100.0,4.01,100.0,89.04,4,hospital_medicine,<5_years,high,0,0
V048,cma,300.0,0,5,147.58,72.53,100.0,36.32,100.0,25.6,100.0,73.23,5,hospital_medicine,<5_years,high,0,1
V053,cma,17.18,1,1,132.18,34.17,34.29,8.67,32.85,86.99,26.66,15.59,1,internal_medicine,>=5_years,low,0,1
V053,gdt,18.44,1,1,123.46,26.41,26.6,0.0,19.47,77.63,21.65,13.13,2,internal_medicine,>=5_years,low,0,1
V053,bm25,24.37,1,1,185.0,36.01,44.09,6.5,35.93,73.39,36.97,19.19,3,internal_medicine,>=5_years,low,0,0
V053,control,22.07,1,1,187.34,40.64,39.28,16.65,43.4,79.0,37.38,28.11,4,internal_medicine,>=5_years,low,0,0
V053,biencoder,145.12,0,1,168.48,59.38,87.78,14.27,82.3,42.64,80.77,48.49,5,internal_medicine,>=5_years,low,0,0
V054,control,20.0,1,1,161.54,37.53,39.41,6.93,34.28,73.31,40.31,30.93,1,hospital_medicine,<5_years,low,0,0
V054,gdt,16.26,1,1,110.19,29.5,30.06,9.52,19.24,79.13,23.73,15.33,2,hospital_medicine,<5_years,low,0,1
V054,cma,19.88,1,1,143.59,32.65,27.57,11.2,32.69,84.67,25.51,14.25,3,hospital_medicine,<5_years,low,0,1
V054,biencoder,23.06,1,1,209.87,36.57,41.9,2.62,41.25,67.69,43.73,22.21,4,hospital_medicine,<5_years,low,0,0
V054,bm25,28.26,1,1,202.59,40.52,47.3,17.71,41.02,68.4,44.44,24.27,5,hospital_medicine,<5_years,low,0,0
