variant,condition,arm,metric,control_mean,bm25_mean,pct_change,cma_mean,gdt_mean
Full GDT,bm25,BM25,time_to_info,70.831,76.874,8.53,,
Full GDT,bm25,BM25,accuracy,0.977,0.923,-5.46,,
Full GDT,bm25,BM25,cognitive_load,49.303,50.098,1.61,,
Full GDT,bm25,BM25,latency_ms,188.651,190.411,0.93,,
Full GDT,cma,CMA,time_to_info,70.831,,-13.06,61.582,
Full GDT,cma,CMA,accuracy,0.977,,0.0,0.977,
Full GDT,cma,CMA,cognitive_load,49.303,,-17.55,40.649,
Full GDT,cma,CMA,latency_ms,188.651,,-23.01,145.238,
Full GDT,gdt,GDT,time_to_info,70.831,,-19.43,,57.068
Full GDT,gdt,GDT,accuracy,0.977,,1.37,,0.99
Full GDT,gdt,GDT,cognitive_load,49.303,,-24.34,,37.302
Full GDT,gdt,GDT,latency_ms,188.651,,-31.65,,128.933
GSI only,bm25,BM25,time_to_info,70.598,76.607,8.51,,
GSI only,bm25,BM25,accuracy,0.977,0.923,-5.46,,
GSI only,bm25,BM25,cognitive_load,49.226,49.778,1.12,,
GSI only,bm25,BM25,latency_ms,189.553,189.015,-0.28,,
GSI only,cma,CMA,time_to_info,70.598,,-12.53,61.755,
GSI only,cma,CMA,accuracy,0.977,,0.0,0.977,
GSI only,cma,CMA,cognitive_load,49.226,,-17.23,40.743,
GSI only,cma,CMA,latency_ms,189.553,,-22.62,146.668,
GSI only,gdt,GDT,time_to_info,70.598,,-19.24,,57.013
GSI only,gdt,GDT,accuracy,0.977,,1.37,,0.99
GSI only,gdt,GDT,cognitive_load,49.226,,-23.83,,37.496
GSI only,gdt,GDT,latency_ms,189.553,,-32.02,,128.866
JEPA only,bm25,BM25,time_to_info,70.666,76.412,8.13,,
JEPA only,bm25,BM25,accuracy,0.977,0.923,-5.46,,
JEPA only,bm25,BM25,cognitive_load,49.181,50.087,1.84,,
JEPA only,bm25,BM25,latency_ms,191.149,189.622,-0.8,,
JEPA only,cma,CMA,time_to_info,70.666,,-13.04,61.451,
JEPA only,cma,CMA,accuracy,0.977,,0.0,0.977,
JEPA only,cma,CMA,cognitive_load,49.181,,-17.6,40.526,
JEPA only,cma,CMA,latency_ms,191.149,,-23.5,146.221,
JEPA only,gdt,GDT,time_to_info,70.666,,-15.92,,59.418
JEPA only,gdt,GDT,accuracy,0.977,,-0.34,,0.973
JEPA only,gdt,GDT,cognitive_load,49.181,,-23.21,,37.765
JEPA only,gdt,GDT,latency_ms,191.149,,-32.05,,129.891
