vignette_id,condition,time_to_info,accuracy,n_queries_issued,latency_ms,cognitive_load,tlx_mental,tlx_physical,tlx_temporal,tlx_performance,tlx_effort,tlx_frustration,period,specialty,experience_group,complexity,n_pivots,condition_code,ablation_variant
V001,control,49.73,1,2,187.77,45.5,60.58,17.17,60.61,59.34,43.55,31.75,1,emergency,<5_years,low,1,0,Full GDT
V001,cma,38.02,1,2,130.04,36.7,40.66,15.8,40.54,72.34,39.36,11.5,2,emergency,<5_years,low,1,1,Full GDT
V001,gdt,34.07,1,2,125.76,31.54,30.3,8.04,25.78,79.34,33.06,12.75,3,emergency,<5_years,low,1,1,Full GDT
V001,bm25,50.98,1,2,187.54,44.89,54.38,13.01,56.15,65.42,51.62,28.73,4,emergency,<5_years,low,1,0,Full GDT
V002,cma,74.96,1,4,143.21,44.04,55.06,14.17,50.76,66.77,47.33,30.18,1,internal_medicine,<5_years,high,2,1,Full GDT
V002,control,98.13,1,4,185.68,57.56,81.03,28.14,72.45,49.15,76.5,38.07,2,internal_medicine,<5_years,high,2,0,Full GDT
V002,gdt,83.62,1,4,123.9,42.37,48.97,10.45,55.62,65.85,47.74,25.57,3,internal_medicine,<5_years,high,2,1,Full GDT
V002,bm25,96.64,1,4,181.2,57.08,77.28,19.68,70.0,55.12,78.84,41.54,4,internal_medicine,<5_years,high,2,0,Full GDT
V003,cma,59.09,1,3,149.34,43.09,47.83,23.77,46.89,65.93,46.62,27.52,1,emergency,<5_years,low,1,1,Full GDT
V003,control,80.17,1,3,189.93,50.96,63.25,20.06,52.84,61.0,66.34,42.24,2,emergency,<5_years,low,1,0,Full GDT
V003,gdt,59.55,1,3,122.9,34.96,36.05,6.39,37.31,69.22,41.06,19.74,3,emergency,<5_years,low,1,1,Full GDT
V003,bm25,63.34,1,3,196.78,46.86,58.17,13.14,63.08,54.6,54.15,38.04,4,emergency,<5_years,low,1,0,Full GDT
V004,bm25,69.5,1,3,204.12,50.3,66.85,22.73,62.07,57.14,60.64,32.39,1,emergency,>=5_years,low,0,0,Full GDT
V004,gdt,57.65,1,3,119.12,37.14,44.88,18.77,32.89,70.44,38.45,17.43,2,emergency,>=5_years,low,0,1,Full GDT
V004,control,73.61,1,3,188.77,50.4,66.17,16.13,52.51,68.02,65.45,34.14,3,emergency,>=5_years,low,0,0,Full GDT
V004,cma,67.38,1,3,142.73,43.03,49.51,14.99,47.28,65.85,53.97,26.61,4,emergency,>=5_years,low,0,1,Full GDT
V005,cma,20.04,1,1,126.39,30.97,27.38,4.46,32.84,81.98,25.17,14.0,1,emergency,<5_years,low,0,1,Full GDT
V005,control,21.9,1,1,184.01,38.9,37.76,11.9,33.75,79.41,42.81,27.79,2,emergency,<5_years,low,0,0,Full GDT
V005,bm25,24.82,1,1,185.59,36.77,42.25,0.87,43.44,66.08,44.9,23.05,3,emergency,<5_years,low,0,0,Full GDT
V005,gdt,19.72,1,1,120.53,25.84,18.88,12.0,23.17,69.82,20.06,11.09,4,emergency,<5_years,low,0,1,Full GDT
V006,cma,81.66,1,4,152.39,45.02,56.98,14.27,50.81,66.36,53.11,28.56,1,internal_medicine,<5_years,high,0,1,Full GDT
V006,bm25,300.0,0,4,174.3,71.22,100.0,39.28,100.0,9.79,100.0,78.24,2,internal_medicine,<5_years,high,0,0,Full GDT
V006,gdt,78.46,1,4,127.37,43.06,53.01,12.3,42.79,68.24,53.25,28.77,3,internal_medicine,<5_years,high,0,1,Full GDT
V006,control,96.38,1,4,174.65,54.1,69.94,19.68,67.61,55.16,67.04,45.16,4,internal_medicine,<5_years,high,0,0,Full GDT
V007,control,25.03,1,1,201.74,39.2,43.76,14.52,41.45,68.47,42.03,24.99,1,internal_medicine,<5_years,low,0,0,Full GDT
V007,bm25,23.77,1,1,213.0,39.12,46.07,13.41,44.06,65.97,44.44,20.75,2,internal_medicine,<5_years,low,0,0,Full GDT
V007,gdt,19.32,1,1,151.67,26.94,26.63,3.67,21.88,77.15,25.62,6.71,3,internal_medicine,<5_years,low,0,1,Full GDT
V007,cma,19.87,1,1,151.79,30.75,31.52,9.51,27.86,74.93,26.65,14.04,4,internal_medicine,<5_years,low,0,1,Full GDT
V008,gdt,94.83,1,5,139.28,48.39,61.11,23.11,52.66,59.91,60.66,32.88,1,internal_medicine,<5_years,high,1,1,Full GDT
V008,bm25,115.04,1,5,190.29,58.11,80.37,16.12,81.45,45.44,76.77,48.53,2,internal_medicine,<5_years,high,1,0,Full GDT
V008,control,112.73,1,5,183.87,59.17,80.67,21.84,75.62,56.25,74.24,46.37,3,internal_medicine,<5_years,high,1,0,Full GDT
V008,cma,96.3,1,5,140.13,49.64,68.91,18.93,56.45,53.83,61.43,38.27,4,internal_medicine,<5_years,high,1,1,Full GDT
