vignette_id,condition,time_to_info,accuracy,n_queries_issued,latency_ms,cognitive_load,tlx_mental,tlx_physical,tlx_temporal,tlx_performance,tlx_effort,tlx_frustration,period,specialty,experience_group,complexity,n_pivots,condition_code
V001,control,72.32,1,3,176.07,48.37,62.49,16.73,58.87,59.64,59.82,32.68,1,emergency,<5_years,low,0,0
V002,control,46.94,1,2,182.85,43.48,52.75,9.73,50.73,67.45,49.69,30.54,2,critical_care,<5_years,low,0,0
V003,control,23.09,1,1,190.19,36.74,40.15,10.99,41.05,66.68,36.59,24.97,2,emergency,>=5_years,low,0,0
V004,control,98.26,1,4,172.77,56.32,75.5,18.65,71.21,57.25,70.67,44.64,3,hospital_medicine,<5_years,high,3,0
V005,control,23.14,1,1,172.02,38.85,40.1,18.75,39.58,69.19,38.42,27.08,3,internal_medicine,>=5_years,low,0,0
V006,control,164.5,0,3,211.86,66.76,93.8,33.8,92.71,42.56,86.28,51.41,2,internal_medicine,>=5_years,high,2,0
V007,control,45.79,1,2,182.61,44.29,47.31,10.52,50.02,69.94,54.88,33.1,1,internal_medicine,<5_years,low,1,0
V008,control,95.87,1,4,198.49,53.63,72.71,16.92,64.56,52.92,66.49,48.18,1,emergency,>=5_years,high,1,0
V009,control,22.11,1,1,182.35,36.06,43.82,0.0,38.22,68.86,38.83,26.64,2,internal_medicine,<5_years,low,0,0
V010,control,103.07,1,5,194.13,56.95,73.92,23.49,72.56,50.95,80.47,40.33,4,internal_medicine,>=5_years,high,3,0
V011,control,75.9,1,3,178.02,51.44,64.24,20.23,69.11,58.86,57.8,38.4,4,emergency,<5_years,low,0,0
V012,control,71.77,1,3,198.7,49.26,65.52,18.9,57.53,56.84,57.78,39.02,3,emergency,>=5_years,high,2,0
V013,control,44.7,1,2,204.49,43.97,56.31,20.01,49.14,65.73,45.97,26.7,2,critical_care,<5_years,low,0,0
V014,control,63.68,1,3,193.46,46.55,54.35,15.93,60.52,61.38,55.57,31.55,1,critical_care,>=5_years,high,2,0
V015,control,93.13,1,4,190.56,57.34,76.74,24.47,70.42,56.83,72.3,43.29,1,critical_care,<5_years,high,2,0
V016,control,96.88,1,4,192.11,54.81,73.22,20.81,68.41,49.48,72.36,44.59,1,critical_care,>=5_years,high,3,0
V017,control,116.94,1,5,189.31,61.56,77.07,27.86,79.64,52.02,83.35,49.44,1,internal_medicine,>=5_years,high,0,0
V018,control,113.59,1,5,181.66,58.64,77.03,28.18,79.42,43.55,78.35,45.3,4,internal_medicine,>=5_years,high,0,0
V019,control,224.7,0,5,181.67,69.9,100.0,28.27,100.0,25.5,100.0,65.65,4,hospital_medicine,<5_years,high,0,0
