condition,arm,metric,control_mean,arm_mean,pct_change,scale
bm25,BM25,time_to_info,58.471,69.277,18.48,10
bm25,BM25,cognitive_load,46.516,48.819,4.95,10
bm25,BM25,latency_ms,184.683,189.995,2.88,10
cma,CMA,time_to_info,58.471,51.055,-12.68,10
cma,CMA,cognitive_load,46.516,38.342,-17.57,10
cma,CMA,latency_ms,184.683,143.83,-22.12,10
gdt,GDT,time_to_info,58.471,48.979,-16.23,10
gdt,GDT,cognitive_load,46.516,35.509,-23.66,10
gdt,GDT,latency_ms,184.683,127.189,-31.13,10
bm25,BM25,time_to_info,70.764,76.934,8.72,100
bm25,BM25,cognitive_load,49.267,50.045,1.58,100
bm25,BM25,latency_ms,189.599,189.954,0.19,100
cma,CMA,time_to_info,70.764,61.351,-13.3,100
cma,CMA,cognitive_load,49.267,40.541,-17.71,100
cma,CMA,latency_ms,189.599,146.672,-22.64,100
gdt,GDT,time_to_info,70.764,57.104,-19.3,100
gdt,GDT,cognitive_load,49.267,37.427,-24.03,100
gdt,GDT,latency_ms,189.599,128.282,-32.34,100
bm25,BM25,time_to_info,76.759,77.335,0.75,1000
bm25,BM25,cognitive_load,50.289,50.327,0.08,1000
bm25,BM25,latency_ms,189.388,189.81,0.22,1000
cma,CMA,time_to_info,76.759,67.163,-12.5,1000
cma,CMA,cognitive_load,50.289,41.655,-17.17,1000
cma,CMA,latency_ms,189.388,146.048,-22.88,1000
gdt,GDT,time_to_info,76.759,58.603,-23.65,1000
gdt,GDT,cognitive_load,50.289,37.79,-24.85,1000
gdt,GDT,latency_ms,189.388,128.438,-32.18,1000
