condition,arm,n_sessions,time_to_info_mean,time_to_info_median,accuracy,cognitive_load_mean,latency_ms_mean,n_queries_issued_mean,scale
control,TF-IDF,30,58.471,52.685,1.0,46.516,184.683,2.533,10
bm25,BM25,30,69.277,69.13,0.9,48.819,189.995,2.533,10
cma,CMA,30,51.055,42.28,1.0,38.342,143.83,2.533,10
gdt,GDT,30,48.979,43.23,1.0,35.509,127.189,2.533,10
control,TF-IDF,300,70.764,69.655,0.9767,49.267,189.599,2.917,100
bm25,BM25,300,76.934,70.98,0.9233,50.045,189.954,2.917,100
cma,CMA,300,61.351,59.53,0.9767,40.541,146.672,2.917,100
gdt,GDT,300,57.104,56.835,0.99,37.427,128.282,2.917,100
control,TF-IDF,3000,76.759,70.45,0.944,50.289,189.388,3.017,1000
bm25,BM25,3000,77.335,70.98,0.9397,50.327,189.81,3.017,1000
cma,CMA,3000,67.163,61.305,0.944,41.655,146.048,3.017,1000
gdt,GDT,3000,58.603,57.845,0.9947,37.79,128.438,3.017,1000
