vignette_id,condition,time_to_info,accuracy,n_queries_issued,latency_ms,cognitive_load,tlx_mental,tlx_physical,tlx_temporal,tlx_performance,tlx_effort,tlx_frustration,period,specialty,experience_group,complexity,n_pivots,condition_code
V001,control,50.43,1,2,190.23,42.52,44.42,12.37,50.27,65.78,51.14,31.17,1,emergency,<5_years,low,1,0
V002,control,91.22,1,4,185.99,52.57,70.27,18.77,63.74,55.87,69.07,37.68,2,internal_medicine,<5_years,high,2,0
V003,control,65.67,1,3,185.29,48.22,56.29,16.21,49.38,68.02,62.83,36.61,2,emergency,<5_years,low,1,0
V004,control,74.02,1,3,165.0,51.56,65.67,18.87,61.98,58.59,62.94,41.29,3,emergency,>=5_years,low,0,0
V005,control,23.14,1,1,172.02,38.85,40.1,18.75,39.58,69.19,38.42,27.08,3,emergency,<5_years,low,0,0
V006,control,93.52,1,4,205.57,53.32,76.16,21.2,63.92,50.94,70.86,36.87,2,internal_medicine,<5_years,high,0,0
V007,control,22.32,1,1,179.15,38.09,42.21,12.02,35.16,69.66,41.55,27.95,1,internal_medicine,<5_years,low,0,0
V008,control,117.51,1,5,195.8,58.85,77.72,21.12,73.74,53.36,79.51,47.63,1,internal_medicine,<5_years,high,1,0
V009,control,115.27,1,5,182.34,59.74,76.62,25.8,75.86,53.53,79.57,47.05,2,critical_care,<5_years,high,0,0
V010,control,83.47,1,4,195.8,51.31,69.1,11.73,61.66,59.17,65.87,40.36,4,hospital_medicine,>=5_years,high,1,0
V011,control,49.82,1,2,178.76,46.85,51.34,18.94,50.64,69.09,60.05,31.02,4,internal_medicine,>=5_years,low,1,0
V012,control,23.69,1,1,187.61,41.49,48.11,14.74,42.31,72.52,43.99,27.24,3,hospital_medicine,<5_years,low,0,0
V013,control,71.93,1,3,205.87,48.74,63.03,15.45,55.43,56.35,60.64,41.53,2,internal_medicine,<5_years,low,1,0
V014,control,43.55,1,2,190.98,42.54,53.93,8.24,42.83,67.17,53.29,29.77,1,internal_medicine,<5_years,low,0,0
V015,control,45.31,1,2,185.94,46.55,54.07,15.31,50.86,68.28,55.01,35.76,1,critical_care,<5_years,low,0,0
V016,control,20.32,1,1,196.71,40.6,42.14,19.6,41.2,72.26,40.6,27.79,1,emergency,>=5_years,low,0,0
V017,control,45.65,1,2,196.36,44.13,51.49,14.31,43.5,66.48,55.1,33.87,1,hospital_medicine,>=5_years,low,0,0
V018,control,70.93,1,3,178.96,48.67,65.78,13.51,55.55,57.24,56.67,43.27,4,internal_medicine,<5_years,low,0,0
V019,control,22.91,1,1,178.19,39.18,37.14,13.17,37.55,72.54,46.19,28.47,4,internal_medicine,<5_years,low,0,0
V020,control,19.03,1,1,199.66,39.79,44.74,8.41,42.48,73.85,42.98,26.29,3,critical_care,<5_years,low,0,0
V021,control,68.36,1,3,163.64,45.66,60.93,14.53,51.54,58.54,56.81,31.63,1,hospital_medicine,>=5_years,low,0,0
V022,control,114.49,1,5,179.57,61.65,83.46,29.33,77.25,47.4,76.94,55.51,2,critical_care,>=5_years,high,0,0
V023,control,41.27,1,2,193.51,45.24,44.18,12.06,51.96,72.68,61.18,29.36,2,hospital_medicine,<5_years,low,0,0
V024,control,115.39,1,5,187.55,58.3,76.83,19.56,78.51,45.36,74.31,55.21,4,hospital_medicine,>=5_years,high,0,0
V025,control,26.61,1,1,185.44,41.21,41.59,21.19,43.37,72.61,44.27,24.19,1,internal_medicine,>=5_years,low,0,0
V026,control,70.3,1,3,173.73,48.77,63.48,17.01,61.07,58.57,58.42,34.08,1,emergency,>=5_years,low,0,0
V027,control,113.8,1,5,182.67,60.74,84.36,22.06,72.98,50.32,79.57,55.14,2,emergency,>=5_years,high,0,0
V028,control,99.72,1,4,171.24,54.61,82.22,15.68,72.52,48.61,73.17,35.47,3,hospital_medicine,>=5_years,high,2,0
V029,control,89.29,1,4,192.53,53.3,72.7,23.28,64.95,55.08,64.92,38.9,1,emergency,>=5_years,high,0,0
V030,control,21.38,1,1,192.37,38.75,38.32,12.44,33.29,77.03,43.05,28.37,3,emergency,<5_years,low,0,0
V031,control,70.57,1,3,200.55,49.18,58.58,10.72,61.99,62.0,59.92,41.86,4,emergency,>=5_years,low,0,0
V032,control,92.22,1,4,176.86,53.84,68.74,21.28,67.57,55.89,68.94,40.6,1,internal_medicine,>=5_years,high,0,0
V033,control,47.98,1,2,186.44,44.3,50.0,12.01,48.1,72.78,53.12,29.78,3,emergency,>=5_years,low,0,0
V034,control,126.1,1,5,190.22,60.1,83.34,13.99,80.11,43.49,83.18,56.47,4,hospital_medicine,<5_years,high,3,0
V035,control,26.45,1,1,171.18,37.74,47.91,10.44,34.16,65.5,41.24,27.2,2,internal_medicine,<5_years,low,0,0
V036,control,54.03,1,2,201.55,44.92,58.32,16.5,45.88,63.55,49.61,35.68,3,hospital_medicine,>=5_years,low,0,0
V037,control,118.89,1,5,175.73,59.29,77.03,21.35,79.75,49.11,76.57,51.95,4,internal_medicine,<5_years,high,0,0
V038,control,109.79,1,5,167.64,58.53,75.24,20.53,75.45,54.21,76.64,49.1,2,internal_medicine,>=5_years,high,0,0
V039,control,114.04,1,5,186.34,59.2,82.51,21.93,73.41,52.03,77.15,48.19,1,hospital_medicine,<5_years,high,2,0
V040,control,43.09,1,2,198.29,43.27,55.69,17.75,45.29,57.17,51.08,32.61,1,internal_medicine,<5_years,low,0,0
V041,control,41.1,1,2,222.86,44.56,57.3,15.87,42.18,73.16,45.65,33.23,4,critical_care,<5_years,low,0,0
V042,control,64.02,1,3,202.55,52.44,62.65,22.96,62.8,65.13,60.8,40.27,2,internal_medicine,<5_years,low,0,0
V043,control,110.39,1,5,188.32,61.06,81.9,21.95,82.78,50.25,81.07,48.42,4,critical_care,<5_years,high,0,0
V044,control,127.82,1,5,184.82,62.51,87.17,23.63,84.56,45.14,84.74,49.84,1,critical_care,<5_years,high,0,0
V045,control,25.16,1,1,236.17,39.01,36.44,8.78,39.55,72.61,48.3,28.36,2,emergency,>=5_years,low,0,0
V046,control,47.39,1,2,185.2,45.46,61.75,14.79,48.34,67.21,56.21,24.49,1,emergency,<5_years,low,0,0
V047,control,114.22,1,5,193.35,55.17,80.23,14.52,77.44,48.81,69.29,40.74,1,hospital_medicine,<5_years,high,0,0
V048,control,21.26,1,1,191.85,38.76,47.69,16.28,32.41,74.93,38.75,22.48,4,emergency,>=5_years,low,0,0
V049,control,27.05,1,1,191.83,39.65,50.81,5.0,46.32,68.92,40.31,26.55,2,critical_care,<5_years,low,0,0
V050,control,92.26,1,4,184.05,53.48,71.48,25.94,68.93,51.84,63.74,38.96,1,internal_medicine,<5_years,high,0,0
V051,control,46.11,1,2,172.37,43.82,55.85,19.82,48.39,65.93,47.32,25.6,3,internal_medicine,>=5_years,low,0,0
V052,control,119.47,1,5,200.72,61.07,87.38,16.17,82.98,48.49,81.97,49.44,3,emergency,<5_years,high,0,0
V053,control,85.02,1,4,186.71,50.42,72.15,16.48,65.68,52.49,63.16,32.58,1,hospital_medicine,>=5_years,high,0,0
V054,control,45.03,1,2,198.66,42.85,49.3,10.62,49.83,67.47,49.96,29.93,3,critical_care,>=5_years,low,0,0
V055,control,46.7,1,2,200.37,43.41,49.35,13.4,42.8,73.55,53.49,27.84,2,hospital_medicine,>=5_years,low,0,0
V056,control,69.54,1,3,189.8,49.52,69.76,14.77,58.73,59.09,60.96,33.81,4,internal_medicine,>=5_years,low,1,0
V057,control,50.37,1,2,188.36,46.78,53.38,14.15,54.03,70.58,55.26,33.25,1,hospital_medicine,>=5_years,low,0,0
V058,control,73.84,1,3,197.66,49.04,63.16,7.74,65.69,55.8,64.75,37.09,1,internal_medicine,<5_years,low,1,0
V059,control,94.53,1,4,190.4,55.4,76.64,17.05,72.0,56.85,69.11,40.76,4,emergency,<5_years,high,1,0
V060,control,210.32,0,5,185.45,69.35,100.0,31.2,100.0,26.87,100.0,58.01,1,hospital_medicine,<5_years,high,0,0
V061,control,96.53,1,4,196.93,53.7,72.97,14.01,68.95,58.79,71.79,35.65,1,hospital_medicine,>=5_years,high,0,0
V062,control,65.55,1,3,189.52,47.4,60.88,15.1,55.4,63.7,50.08,39.25,4,internal_medicine,>=5_years,low,0,0
V063,control,22.15,1,1,167.52,39.13,42.67,16.75,40.8,70.93,48.23,15.43,1,internal_medicine,<5_years,low,0,0
V064,control,22.02,1,1,183.88,37.16,37.4,9.28,40.51,69.38,40.22,26.18,2,hospital_medicine,<5_years,low,0,0
V065,control,120.73,1,5,199.5,58.38,76.51,21.38,81.2,42.34,80.9,47.98,1,critical_care,<5_years,high,0,0
V066,control,23.69,1,1,207.86,40.63,48.22,10.06,43.12,76.27,42.81,23.31,3,critical_care,<5_years,low,0,0
V067,control,22.17,1,1,216.36,39.72,42.17,3.79,45.71,73.32,45.54,27.8,2,critical_care,<5_years,low,0,0
V068,control,69.06,1,3,190.16,47.32,59.41,15.43,59.63,56.59,58.36,34.46,3,emergency,<5_years,low,0,0
V069,control,71.43,1,3,187.26,47.78,59.66,19.05,55.23,60.92,57.82,33.99,2,hospital_medicine,<5_years,low,0,0
V070,control,22.52,1,1,212.14,36.25,40.55,10.32,36.21,76.8,36.76,16.89,4,emergency,>=5_years,low,0,0
V071,control,163.11,0,3,194.66,63.81,93.47,21.98,82.99,39.09,88.95,56.4,2,internal_medicine,>=5_years,low,0,0
V072,control,90.13,1,4,191.0,56.39,74.92,26.2,65.71,52.33,78.91,40.28,2,internal_medicine,<5_years,high,1,0
V073,control,66.79,1,3,186.83,47.07,63.1,9.72,52.13,65.05,56.66,35.77,1,critical_care,<5_years,low,0,0
V074,control,111.44,1,5,196.25,58.74,72.6,28.54,75.79,43.8,86.87,44.84,4,emergency,<5_years,high,0,0
V075,control,48.59,1,2,184.65,46.07,56.22,13.97,52.92,69.47,51.87,31.98,2,hospital_medicine,<5_years,low,0,0
V076,control,117.85,1,5,200.83,59.43,87.95,19.83,76.63,42.89,84.85,44.41,1,emergency,<5_years,high,0,0
V077,control,21.91,1,1,180.14,38.94,46.38,16.76,41.86,66.3,34.78,27.56,1,hospital_medicine,<5_years,low,0,0
V078,control,75.93,1,3,200.31,52.26,70.59,13.35,64.12,65.15,61.85,38.5,4,internal_medicine,<5_years,low,0,0
V079,control,18.01,1,1,156.51,36.22,37.75,13.45,40.86,66.63,37.13,21.48,3,hospital_medicine,<5_years,low,0,0
V080,control,47.33,1,2,187.73,46.14,62.08,10.52,54.52,64.43,54.37,30.95,2,hospital_medicine,>=5_years,low,0,0
V081,control,46.76,1,2,182.37,42.38,47.07,10.89,50.16,62.19,56.38,27.58,4,internal_medicine,>=5_years,low,1,0
V082,control,98.96,1,4,193.66,56.08,78.8,23.35,65.05,58.13,76.42,34.74,4,critical_care,<5_years,high,0,0
V083,control,102.85,1,4,199.28,58.19,84.83,22.48,70.65,49.9,80.59,40.67,2,hospital_medicine,<5_years,high,0,0
V084,control,67.18,1,3,179.05,49.97,64.7,22.23,62.24,57.45,59.74,33.43,2,hospital_medicine,<5_years,high,2,0
V085,control,87.2,1,4,175.71,54.31,65.44,17.67,73.67,53.06,70.46,45.56,4,emergency,<5_years,high,1,0
V086,control,21.96,1,1,205.69,39.74,41.13,16.94,31.44,81.51,41.27,26.16,4,hospital_medicine,>=5_years,low,0,0
V087,control,30.89,1,1,195.14,40.8,44.81,10.27,45.12,70.4,44.83,29.38,4,critical_care,<5_years,low,0,0
V088,control,120.77,1,5,194.94,60.93,87.14,23.99,79.32,50.88,79.9,44.37,2,internal_medicine,>=5_years,high,0,0
