variant,condition,arm,metric,control_mean,bm25_mean,pct_change,cma_mean,gdt_mean
Full GDT,bm25,BM25,time_to_info,76.685,77.158,0.62,,
Full GDT,bm25,BM25,accuracy,0.944,0.94,-0.46,,
Full GDT,bm25,BM25,cognitive_load,50.199,50.302,0.2,,
Full GDT,bm25,BM25,latency_ms,189.304,189.451,0.08,,
Full GDT,cma,CMA,time_to_info,76.685,,-12.37,67.197,
Full GDT,cma,CMA,accuracy,0.944,,0.0,0.944,
Full GDT,cma,CMA,cognitive_load,50.199,,-17.03,41.648,
Full GDT,cma,CMA,latency_ms,189.304,,-22.65,146.418,
Full GDT,gdt,GDT,time_to_info,76.685,,-23.43,,58.714
Full GDT,gdt,GDT,accuracy,0.944,,5.37,,0.995
Full GDT,gdt,GDT,cognitive_load,50.199,,-24.5,,37.9
Full GDT,gdt,GDT,latency_ms,189.304,,-32.25,,128.254
GSI only,bm25,BM25,time_to_info,76.494,77.017,0.68,,
GSI only,bm25,BM25,accuracy,0.944,0.94,-0.46,,
GSI only,bm25,BM25,cognitive_load,50.215,50.297,0.16,,
GSI only,bm25,BM25,latency_ms,189.543,189.559,0.01,,
GSI only,cma,CMA,time_to_info,76.494,,-12.08,67.256,
GSI only,cma,CMA,accuracy,0.944,,0.0,0.944,
GSI only,cma,CMA,cognitive_load,50.215,,-17.05,41.653,
GSI only,cma,CMA,latency_ms,189.543,,-22.62,146.673,
GSI only,gdt,GDT,time_to_info,76.494,,-23.11,,58.814
GSI only,gdt,GDT,accuracy,0.944,,5.37,,0.995
GSI only,gdt,GDT,cognitive_load,50.215,,-24.59,,37.868
GSI only,gdt,GDT,latency_ms,189.543,,-32.22,,128.476
JEPA only,bm25,BM25,time_to_info,76.664,76.957,0.38,,
JEPA only,bm25,BM25,accuracy,0.944,0.94,-0.46,,
JEPA only,bm25,BM25,cognitive_load,50.276,50.239,-0.07,,
JEPA only,bm25,BM25,latency_ms,189.733,189.249,-0.26,,
JEPA only,cma,CMA,time_to_info,76.664,,-12.37,67.177,
JEPA only,cma,CMA,accuracy,0.944,,0.0,0.944,
JEPA only,cma,CMA,cognitive_load,50.276,,-17.17,41.645,
JEPA only,cma,CMA,latency_ms,189.733,,-23.02,146.065,
JEPA only,gdt,GDT,time_to_info,76.664,,-14.98,,65.181
JEPA only,gdt,GDT,accuracy,0.944,,-0.56,,0.939
JEPA only,gdt,GDT,cognitive_load,50.276,,-22.72,,38.856
JEPA only,gdt,GDT,latency_ms,189.733,,-32.32,,128.404
