vignette_id,condition,time_to_info,accuracy,n_queries_issued,latency_ms,cognitive_load,tlx_mental,tlx_physical,tlx_temporal,tlx_performance,tlx_effort,tlx_frustration,period,specialty,experience_group,complexity,n_pivots,condition_code,ablation_variant
V001,bm25,77.9,1,3,190.7,49.17,67.68,14.1,61.1,54.21,61.31,36.63,1,emergency,<5_years,low,0,0,Full GDT
V001,gdt,56.38,1,3,127.39,37.9,41.55,13.09,37.44,71.66,37.79,25.86,2,emergency,<5_years,low,0,1,Full GDT
V001,cma,60.0,1,3,159.48,44.12,47.52,11.74,49.16,75.91,50.57,29.81,3,emergency,<5_years,low,0,1,Full GDT
V001,control,66.03,1,3,186.68,45.72,55.43,14.58,56.03,54.43,55.5,38.35,4,emergency,<5_years,low,0,0,Full GDT
V002,control,51.37,1,2,188.93,42.07,51.39,13.1,49.5,56.11,52.67,29.63,1,critical_care,<5_years,low,0,0,Full GDT
V002,bm25,49.81,1,2,196.13,44.8,54.84,13.99,55.51,62.23,56.04,26.18,2,critical_care,<5_years,low,0,0,Full GDT
V002,cma,40.22,1,2,150.89,34.48,38.6,4.41,31.65,78.73,38.22,15.26,3,critical_care,<5_years,low,0,1,Full GDT
V002,gdt,37.06,1,2,130.89,33.8,33.17,17.73,32.25,77.54,25.41,16.71,4,critical_care,<5_years,low,0,1,Full GDT
V003,bm25,26.82,1,1,194.5,41.63,49.35,11.94,42.65,72.25,45.22,28.35,1,emergency,>=5_years,low,0,0,Full GDT
V003,cma,22.98,1,1,127.45,30.76,26.57,13.46,21.78,79.47,29.12,14.16,2,emergency,>=5_years,low,0,1,Full GDT
V003,gdt,18.27,1,1,136.84,30.65,31.04,9.06,25.59,78.74,30.07,9.38,3,emergency,>=5_years,low,0,1,Full GDT
V003,control,22.93,1,1,183.64,41.32,42.74,10.74,43.83,76.62,45.5,28.46,4,emergency,>=5_years,low,0,0,Full GDT
V004,control,96.42,1,4,193.74,56.15,71.62,24.71,65.32,53.96,71.21,50.07,1,hospital_medicine,<5_years,high,3,0,Full GDT
V004,bm25,90.53,1,4,201.65,52.6,70.44,17.27,61.43,54.91,68.35,43.19,2,hospital_medicine,<5_years,high,3,0,Full GDT
V004,gdt,75.91,1,4,124.32,44.64,55.62,17.57,42.9,77.86,49.68,24.21,3,hospital_medicine,<5_years,high,3,1,Full GDT
V004,cma,79.45,1,4,145.41,46.75,58.2,20.26,55.17,54.56,59.9,32.41,4,hospital_medicine,<5_years,high,3,1,Full GDT
V005,gdt,22.41,1,1,118.53,25.72,19.1,5.24,17.65,76.17,26.2,9.95,1,internal_medicine,>=5_years,low,0,1,Full GDT
V005,cma,22.25,1,1,135.08,31.67,32.06,4.43,28.29,77.16,31.25,16.81,2,internal_medicine,>=5_years,low,0,1,Full GDT
V005,bm25,23.52,1,1,196.43,39.69,42.71,11.78,43.31,66.37,41.09,32.88,3,internal_medicine,>=5_years,low,0,0,Full GDT
V005,control,21.64,1,1,208.81,39.32,43.07,17.46,45.56,69.25,35.17,25.41,4,internal_medicine,>=5_years,low,0,0,Full GDT
V006,gdt,54.56,1,3,129.81,36.39,35.93,9.17,37.19,74.22,41.3,20.52,1,internal_medicine,>=5_years,high,2,1,Full GDT
V006,bm25,166.19,0,3,183.26,64.03,91.33,23.37,88.56,38.18,98.82,43.93,2,internal_medicine,>=5_years,high,2,0,Full GDT
V006,control,164.48,0,3,191.58,68.28,93.18,29.35,99.48,41.72,89.11,56.86,3,internal_medicine,>=5_years,high,2,0,Full GDT
V006,cma,151.95,0,3,143.64,54.94,85.24,18.88,64.59,54.74,65.62,40.55,4,internal_medicine,>=5_years,high,2,1,Full GDT
V007,control,48.6,1,2,186.75,45.57,55.3,15.5,47.48,64.67,55.75,34.74,1,internal_medicine,<5_years,low,1,0,Full GDT
V007,bm25,43.18,1,2,192.32,43.16,50.34,16.47,47.38,66.88,47.48,30.42,2,internal_medicine,<5_years,low,1,0,Full GDT
V007,gdt,34.69,1,2,120.25,35.97,32.22,16.08,27.67,85.73,44.14,10.01,3,internal_medicine,<5_years,low,1,1,Full GDT
V007,cma,38.72,1,2,140.88,35.22,35.96,13.25,33.08,79.73,30.84,18.44,4,internal_medicine,<5_years,low,1,1,Full GDT
V008,cma,78.78,1,4,142.04,42.17,54.44,12.4,44.62,66.15,53.16,22.25,1,emergency,>=5_years,high,1,1,Full GDT
V008,bm25,90.17,1,4,171.59,52.31,60.98,20.07,68.62,55.54,72.39,36.23,2,emergency,>=5_years,high,1,0,Full GDT
V008,gdt,77.75,1,4,139.79,42.07,56.53,18.23,45.97,60.31,45.8,25.57,3,emergency,>=5_years,high,1,1,Full GDT
V008,control,98.22,1,4,183.24,54.78,74.34,26.71,71.18,46.3,67.22,42.91,4,emergency,>=5_years,high,1,0,Full GDT
V009,gdt,18.39,1,1,133.23,25.59,18.52,8.99,14.64,77.88,25.94,7.6,1,internal_medicine,<5_years,low,0,1,Full GDT
V009,cma,19.51,1,1,119.75,30.33,24.54,0.5,30.48,84.77,29.3,12.4,2,internal_medicine,<5_years,low,0,1,Full GDT
V009,control,21.44,1,1,200.24,39.82,36.33,11.15,44.38,74.39,44.58,28.11,3,internal_medicine,<5_years,low,0,0,Full GDT
V009,bm25,21.25,1,1,195.35,39.03,40.32,7.15,40.68,73.84,45.6,26.58,4,internal_medicine,<5_years,low,0,0,Full GDT
V010,control,120.59,1,5,196.43,61.15,82.18,24.52,82.78,48.88,73.58,54.95,1,internal_medicine,>=5_years,high,3,0,Full GDT
V010,bm25,105.45,1,5,193.03,60.69,77.57,26.1,81.02,55.82,76.68,46.95,2,internal_medicine,>=5_years,high,3,0,Full GDT
V010,gdt,89.58,1,5,128.59,43.03,59.07,6.44,51.87,53.58,52.98,34.21,3,internal_medicine,>=5_years,high,3,1,Full GDT
V010,cma,101.48,1,5,161.66,51.33,63.58,18.97,56.46,65.29,69.1,34.6,4,internal_medicine,>=5_years,high,3,1,Full GDT
V011,cma,62.91,1,3,135.1,43.54,46.96,15.01,53.0,68.9,46.66,30.7,1,emergency,<5_years,low,0,1,Full GDT
V011,bm25,63.27,1,3,196.08,45.87,56.49,10.63,53.85,59.19,59.57,35.51,2,emergency,<5_years,low,0,0,Full GDT
V011,control,69.26,1,3,196.02,48.14,61.91,13.46,57.92,63.1,51.3,41.16,3,emergency,<5_years,low,0,0,Full GDT
V011,gdt,54.04,1,3,113.81,36.9,37.34,12.96,40.81,71.24,41.34,17.71,4,emergency,<5_years,low,0,1,Full GDT
V012,control,73.84,1,3,196.4,51.52,70.11,16.59,67.2,54.58,63.64,36.99,1,emergency,>=5_years,high,2,0,Full GDT
V012,gdt,52.23,1,3,126.68,37.99,39.67,16.46,41.31,70.46,41.55,18.5,2,emergency,>=5_years,high,2,1,Full GDT
V012,bm25,67.36,1,3,186.23,48.08,54.33,18.63,52.96,58.17,67.87,36.54,3,emergency,>=5_years,high,2,0,Full GDT
V012,cma,61.9,1,3,154.01,41.77,50.56,14.41,47.72,60.47,51.67,25.78,4,emergency,>=5_years,high,2,1,Full GDT
V013,bm25,47.55,1,2,175.38,45.36,54.17,9.6,60.03,70.9,45.47,31.96,1,critical_care,<5_years,low,0,0,Full GDT
V013,cma,39.57,1,2,142.18,35.77,41.29,6.23,32.37,81.28,29.07,24.36,2,critical_care,<5_years,low,0,1,Full GDT
V013,control,52.69,1,2,176.21,45.36,58.6,11.08,53.16,66.43,56.0,26.91,3,critical_care,<5_years,low,0,0,Full GDT
V013,gdt,35.78,1,2,136.05,30.18,32.16,1.56,31.91,68.86,25.85,20.76,4,critical_care,<5_years,low,0,1,Full GDT
V014,control,71.9,1,3,172.4,47.67,63.44,8.87,62.2,48.21,64.29,39.02,1,critical_care,>=5_years,high,2,0,Full GDT
V014,gdt,60.26,1,3,115.39,37.54,41.42,14.58,35.28,67.34,46.82,19.81,2,critical_care,>=5_years,high,2,1,Full GDT
V014,bm25,69.29,1,3,188.53,52.82,66.82,19.11,59.55,66.36,66.38,38.67,3,critical_care,>=5_years,high,2,0,Full GDT
V014,cma,56.68,1,3,141.6,37.32,44.17,15.62,37.89,60.1,41.74,24.42,4,critical_care,>=5_years,high,2,1,Full GDT
V015,cma,81.81,1,4,150.68,45.33,56.71,15.6,50.89,56.5,60.73,31.55,1,critical_care,<5_years,high,2,1,Full GDT
V015,gdt,77.68,1,4,125.84,40.2,48.72,13.15,44.15,63.98,48.31,22.87,2,critical_care,<5_years,high,2,1,Full GDT
V015,control,93.29,1,4,188.24,52.21,73.34,15.67,65.6,49.33,67.76,41.54,3,critical_care,<5_years,high,2,0,Full GDT
V015,bm25,97.72,1,4,193.52,54.82,70.47,19.7,67.21,54.92,74.16,42.48,4,critical_care,<5_years,high,2,0,Full GDT
V016,gdt,80.54,1,4,140.93,43.47,48.4,14.38,47.77,61.24,59.48,29.58,1,critical_care,>=5_years,high,3,1,Full GDT
V016,control,89.46,1,4,192.96,52.36,68.08,18.97,66.65,51.97,69.71,38.8,2,critical_care,>=5_years,high,3,0,Full GDT
V016,bm25,90.77,1,4,188.15,55.01,70.78,16.96,69.28,56.72,73.03,43.3,3,critical_care,>=5_years,high,3,0,Full GDT
V016,cma,77.11,1,4,149.02,42.75,56.7,4.33,45.24,63.72,58.94,27.59,4,critical_care,>=5_years,high,3,1,Full GDT
V017,control,114.99,1,5,180.04,58.43,88.24,18.76,73.74,45.32,81.56,42.94,1,internal_medicine,>=5_years,high,0,0,Full GDT
V017,cma,101.58,1,5,148.9,49.5,66.96,14.96,55.24,58.2,61.77,39.87,2,internal_medicine,>=5_years,high,0,1,Full GDT
V017,bm25,115.59,1,5,199.27,59.31,79.17,27.33,81.75,37.94,82.86,46.81,3,internal_medicine,>=5_years,high,0,0,Full GDT
V017,gdt,101.08,1,5,126.62,46.06,61.41,16.75,52.04,62.04,55.81,28.28,4,internal_medicine,>=5_years,high,0,1,Full GDT
V018,gdt,96.47,1,5,131.64,46.3,58.47,7.59,53.32,69.36,56.84,32.19,1,internal_medicine,>=5_years,high,0,1,Full GDT
V018,bm25,108.85,1,5,191.08,62.98,87.91,25.53,78.23,62.63,73.98,49.57,2,internal_medicine,>=5_years,high,0,0,Full GDT
V018,control,114.35,1,5,198.67,59.26,76.85,18.82,74.1,48.01,86.21,51.53,3,internal_medicine,>=5_years,high,0,0,Full GDT
V018,cma,108.03,1,5,137.78,49.69,66.22,20.56,54.22,56.86,67.12,33.18,4,internal_medicine,>=5_years,high,0,1,Full GDT
V019,bm25,108.64,1,5,195.17,59.36,73.81,24.34,80.49,52.08,77.91,47.52,1,hospital_medicine,<5_years,high,0,0,Full GDT
V019,control,203.86,0,5,189.01,70.35,100.0,29.93,100.0,30.42,100.0,61.74,2,hospital_medicine,<5_years,high,0,0,Full GDT
V019,cma,195.36,0,5,147.46,63.54,97.68,21.4,88.93,28.71,92.38,52.14,3,hospital_medicine,<5_years,high,0,1,Full GDT
V019,gdt,100.22,1,5,131.39,50.02,67.92,18.97,52.81,59.88,66.3,34.21,4,hospital_medicine,<5_years,high,0,1,Full GDT
V020,cma,87.69,1,4,150.97,47.53,58.47,16.85,54.13,60.45,59.98,35.31,1,critical_care,<5_years,high,1,1,Full GDT
V020,bm25,95.99,1,4,191.08,52.67,72.18,11.21,74.47,49.79,68.44,39.95,2,critical_care,<5_years,high,1,0,Full GDT
V020,control,101.79,1,4,205.42,56.69,82.51,20.41,66.64,57.12,70.63,42.81,3,critical_care,<5_years,high,1,0,Full GDT
V020,gdt,81.19,1,4,125.43,43.57,52.77,19.27,42.19,66.56,54.73,25.88,4,critical_care,<5_years,high,1,1,Full GDT
V021,cma,22.0,1,1,157.79,29.54,34.27,6.66,27.41,73.18,26.13,9.6,1,hospital_medicine,>=5_years,low,0,1,Full GDT
V021,gdt,17.29,1,1,110.9,27.76,26.52,12.93,19.35,80.01,17.83,9.94,2,hospital_medicine,>=5_years,low,0,1,Full GDT
V021,control,22.33,1,1,184.96,41.53,39.07,18.95,49.83,75.9,36.33,29.11,3,hospital_medicine,>=5_years,low,0,0,Full GDT
V021,bm25,22.3,1,1,192.11,37.9,32.39,6.75,39.5,73.47,42.35,32.93,4,hospital_medicine,>=5_years,low,0,0,Full GDT
V022,gdt,18.98,1,1,111.02,30.84,36.72,0.97,26.68,76.31,29.88,14.52,1,hospital_medicine,<5_years,low,0,1,Full GDT
